"r.day" "month" "day" "pow.obs" "ws30" "wd30"
230 8 18 0.050104109589041 6.35890410958919 3.32822745278946
231 8 19 0.210183561643836 7.89726027397206 4.56329231508866
232 8 20 0.322953424657534 13.8287671232875 4.94344881081963
233 8 21 0.302906849315068 11.2986301369845 4.60931365263765
234 8 22 0.65615890410959 16.8068493150688 4.59121366989149
235 8 23 0.67435890410959 17.3787671232868 5.18593275701334
236 8 24 0.169364383561644 8.88082191780855 6.12651210748416
237 8 25 0.0619945205479452 9.86438356164219 6.1710803585368
238 8 26 0.0961945205479452 7.26164383561632 5.62782065716111
239 8 27 0.682605479452054 13.6746575342438 5.5454224609697
240 8 28 0.0340465753424658 3.29246575342415 4.31601406213037
241 8 29 0.0708986301369862 3.85753424657504 2.54298050100078
242 8 30 0.098772602739726 7.44383561643916 0.0538428650755863
243 8 31 0.158471232876712 8.51095890410977 4.916196104096
244 9 1 0.135432876712329 7.22054794520416 0.236231012989473
245 9 2 0.0385561643835616 8.03698630136998 5.81025573990003
248 9 5 0.00207397260273972 3.61027397260325 3.16919684743381
249 9 6 0.532230136986302 11.8123287671242 2.92822990271923
250 9 7 0.192542465753425 10.9780821917821 3.3628707296269
251 9 8 0.20926301369863 9.89246575342403 2.60181610591451
252 9 9 0.818468493150684 14.5390410958908 2.58995166326132
253 9 10 0.000542465753424658 5.47739726027323 1.13538733750503
254 9 11 0.300876712328768 8.08904109588796 1.51278922579828
255 9 12 0.0105479452054795 4.33493150684955 4.53466615346687
256 9 13 0.125460273972603 6.35547945205512 0.166653229106047
257 9 14 0.132580821917808 4.38630136986304 4.58233197396016
258 9 15 0.315386301369864 13.1493150684932 4.65925769079556
259 9 16 0.0970931506849316 11.7972602739722 5.02965996301134
260 9 17 0.088413698630137 8.47808219178004 5.0987852554924
261 9 18 0.508356164383562 15.432876712329 4.25297535063062
262 9 19 0.37328493150685 16.5575342465755 4.57361188506054
263 9 20 0.00294246575342466 10.9109589041101 4.26028660781328
264 9 21 0.537854794520548 18.9794520547934 4.52553816185956
265 9 22 0.54805205479452 19.5212328767126 3.84251124814812
266 9 23 0.698975342465754 19.4609589041123 4.95142701796908
267 9 24 0.283153424657534 10.1636986301366 5.41123550069897
268 9 25 0.46091506849315 10.1979452054792 4.51710494528525
269 9 26 0.23147397260274 14.3575342465768 3.67862519684065
270 9 27 0.563504109589042 13.1000000000006 5.41490356100006
272 9 29 0.0330164383561644 3.30479452054792 0.124984468201386
273 9 30 0.00104657534246575 3.22945205479479 6.1143836192197
274 10 1 0.00891780821917808 4.52054794520509 2.69616019935741
275 10 2 0.024882191780822 5.06986301369845 5.44181125680929
276 10 3 0.203794520547946 9.7691780821902 4.24562390224254
277 10 4 0.129424657534247 10.1102739726027 5.04092136048877
278 10 5 0.254961643835616 8.53287671232859 5.23735040281783
279 10 6 0.61937808219178 12.62397260274 4.32370623154322
280 10 7 0.19061095890411 6.60616438356066 5.68929597955877
281 10 8 0.262657534246576 14.0376712328812 5.41878967638964
